fecha,Provincia,Confirmados,Fallecidos,Muestras,Poblacion,Recuperados
2020-03-19 00:00:00,Azua,0,0,0,223921,0
2020-03-21 00:00:00,Azua,0,0,0,223921,0
2020-03-22 00:00:00,Azua,0,0,0,223921,0
2020-03-24 00:00:00,Azua,0,0,0,223921,0
2020-03-26 00:00:00,Azua,0,0,0,223921,0
2020-03-30 00:00:00,Azua,0,0,0,223921,0
2020-03-31 00:00:00,Azua,0,0,0,223921,0
2020-04-01 00:00:00,Azua,0,0,0,223922,0
2020-04-02 00:00:00,Azua,0,0,0,223922,0
2020-04-03 00:00:00,Azua,0,0,0,223922,0
2020-04-04 00:00:00,Azua,0,0,0,223922,0
2020-04-05 00:00:00,Azua,0,0,0,223922,0
2020-04-09 00:00:00,Azua,0,0,0,223922,0
2020-04-13 00:00:00,Azua,0,0,0,223922,0
2020-04-15 00:00:00,Azua,0,0,0,223922,0
2020-04-16 00:00:00,Azua,0,0,0,223922,0
2020-04-17 00:00:00,Azua,0,0,0,223922,0
2020-04-20 00:00:00,Azua,0,0,0,223922,0
2020-04-22 00:00:00,Azua,0,0,0,223922,0
2020-05-11 00:00:00,Azua,0,0,0,223929,0
2020-05-13 00:00:00,Azua,0,0,0,223929,0
2021-09-22 00:00:00,Azua,0,0,0,223976,0
2022-03-11 00:00:00,Azua,0,0,0,224008,0
2022-04-01 00:00:00,Azua,0,0,0,224016,0
2022-04-15 00:00:00,Azua,0,0,0,224016,0
2022-04-16 00:00:00,Azua,0,0,0,224016,0
2022-05-01 00:00:00,Azua,0,0,0,224024,0
2022-05-22 00:00:00,Azua,0,0,0,224024,0
2020-10-26 00:00:00,Azua,0,0,0,223948,1
2020-11-02 00:00:00,Azua,0,0,0,223947,1
2020-11-10 00:00:00,Azua,0,0,0,223947,1
2020-12-25 00:00:00,Azua,0,0,0,223952,1
2021-09-14 00:00:00,Azua,0,0,0,223976,1
2021-09-28 00:00:00,Azua,0,0,0,223976,1
2020-05-04 00:00:00,Azua,0,0,0,223929,'-1
2022-02-13 00:00:00,Azua,0,0,0,224000,14
2020-04-27 00:00:00,Azua,0,0,0,223922,2
2021-01-02 00:00:00,Azua,0,0,0,223955,2
2021-07-05 00:00:00,Azua,0,0,0,223971,2
2020-09-28 00:00:00,Azua,0,0,0,223944,4
2021-06-28 00:00:00,Azua,0,0,0,223968,5
2021-12-02 00:00:00,Azua,0,0,0,223984,5
2021-09-11 00:00:00,Azua,0,0,0,223976,7
2020-11-23 00:00:00,Azua,0,0,1,223947,0
2022-03-12 00:00:00,Azua,0,0,1,224008,0
2022-04-10 00:00:00,Azua,0,0,1,224016,0
2022-04-27 00:00:00,Azua,0,0,1,224016,0
2022-05-02 00:00:00,Azua,0,0,1,224024,0
2022-05-05 00:00:00,Azua,0,0,1,224024,0
2022-05-08 00:00:00,Azua,0,0,1,224024,0
2022-05-19 00:00:00,Azua,0,0,1,224024,0
2021-01-05 00:00:00,Azua,0,0,1,223955,1
2021-09-05 00:00:00,Azua,0,0,1,223976,1
2021-12-23 00:00:00,Azua,0,0,1,223984,1
2022-04-19 00:00:00,Azua,0,0,1,224016,1
2021-07-25 00:00:00,Azua,0,0,1,223971,17
2021-01-04 00:00:00,Azua,0,0,1,223955,2
2021-08-30 00:00:00,Azua,0,0,1,223973,2
2022-03-09 00:00:00,Azua,0,0,1,224008,2
2021-09-29 00:00:00,Azua,0,0,1,223976,3
2021-12-06 00:00:00,Azua,0,0,1,223984,3
2020-09-12 00:00:00,Azua,0,0,1,223944,5
2021-07-18 00:00:00,Azua,0,0,1,223971,6
2020-11-11 00:00:00,Azua,0,0,10,223947,0
2022-02-16 00:00:00,Azua,0,0,10,224000,0
2022-05-10 00:00:00,Azua,0,0,10,224024,0
2021-11-20 00:00:00,Azua,0,0,10,223981,7
2021-12-12 00:00:00,Azua,0,0,11,223984,0
2022-02-14 00:00:00,Azua,0,0,11,224000,0
2020-10-11 00:00:00,Azua,0,0,11,223948,2
2022-04-14 00:00:00,Azua,0,0,11,224016,2
2022-03-31 00:00:00,Azua,0,0,110,224008,0
2022-03-26 00:00:00,Azua,0,0,12,224008,1
2022-04-24 00:00:00,Azua,0,0,13,224016,0
2022-04-11 00:00:00,Azua,0,0,14,224016,0
2022-03-27 00:00:00,Azua,0,0,14,224008,1
2022-03-30 00:00:00,Azua,0,0,14,224008,1
2022-05-24 00:00:00,Azua,0,0,14,224024,'-2
2021-09-23 00:00:00,Azua,0,0,15,223976,0
2021-12-15 00:00:00,Azua,0,0,15,223984,0
2021-12-26 00:00:00,Azua,0,0,15,223984,0
2020-11-03 00:00:00,Azua,0,0,15,223947,3
2021-12-01 00:00:00,Azua,0,0,15,223984,3
2020-09-13 00:00:00,Azua,0,0,15,223944,6
2022-05-16 00:00:00,Azua,0,0,16,224024,'-1
2021-08-12 00:00:00,Azua,0,0,16,223973,40
2020-10-12 00:00:00,Azua,0,0,16,223948,5
2022-05-27 00:00:00,Azua,0,0,18,224024,0
2020-11-14 00:00:00,Azua,0,0,18,223947,5
2020-11-13 00:00:00,Azua,0,0,19,223947,4
2020-09-07 00:00:00,Azua,0,0,19,223944,6
2021-11-11 00:00:00,Azua,0,0,19,223981,6
2020-05-27 00:00:00,Azua,0,0,2,223929,0
2021-05-10 00:00:00,Azua,0,0,2,223965,0
2021-08-14 00:00:00,Azua,0,0,2,223973,0
2022-04-07 00:00:00,Azua,0,0,2,224016,0
2022-04-20 00:00:00,Azua,0,0,2,224016,0
2022-04-22 00:00:00,Azua,0,0,2,224016,0
2022-05-03 00:00:00,Azua,0,0,2,224024,0
2022-05-04 00:00:00,Azua,0,0,2,224024,0
2022-05-09 00:00:00,Azua,0,0,2,224024,0
2021-08-01 00:00:00,Azua,0,0,2,223973,1
2021-08-26 00:00:00,Azua,0,0,2,223973,1
2021-12-14 00:00:00,Azua,0,0,2,223984,1
2022-02-23 00:00:00,Azua,0,0,2,224000,1
2022-03-25 00:00:00,Azua,0,0,2,224008,1
2021-10-24 00:00:00,Azua,0,0,2,223979,2
2020-09-19 00:00:00,Azua,0,0,2,223944,3
2021-12-19 00:00:00,Azua,0,0,2,223984,3
2021-08-24 00:00:00,Azua,0,0,2,223973,9
2022-05-17 00:00:00,Azua,0,0,20,224024,0
2020-11-08 00:00:00,Azua,0,0,20,223947,2
2021-05-01 00:00:00,Azua,0,0,20,223965,3
2021-04-28 00:00:00,Azua,0,0,20,223963,4
2022-06-02 00:00:00,Azua,0,0,21,224032,0
2020-11-15 00:00:00,Azua,0,0,21,223947,4
2021-08-08 00:00:00,Azua,0,0,21,223973,59
2022-05-15 00:00:00,Azua,0,0,22,224024,1
2021-05-05 00:00:00,Azua,0,0,22,223965,6
2022-06-14 00:00:00,Azua,0,0,23,224032,1
2022-03-15 00:00:00,Azua,0,0,24,224008,0
2022-04-03 00:00:00,Azua,0,0,24,224016,0
2022-04-28 00:00:00,Azua,0,0,24,224016,0
2022-05-14 00:00:00,Azua,0,0,24,224024,'-1
2022-05-28 00:00:00,Azua,0,0,24,224024,2
2022-04-13 00:00:00,Azua,0,0,25,224016,0
2021-05-16 00:00:00,Azua,0,0,26,223965,1
2020-11-21 00:00:00,Azua,0,0,26,223947,2
2020-12-10 00:00:00,Azua,0,0,3,223952,0
2021-08-28 00:00:00,Azua,0,0,3,223973,0
2022-03-05 00:00:00,Azua,0,0,3,224008,0
2022-04-06 00:00:00,Azua,0,0,3,224016,0
2022-04-17 00:00:00,Azua,0,0,3,224016,0
2022-06-09 00:00:00,Azua,0,0,3,224032,0
2022-03-04 00:00:00,Azua,0,0,3,224008,1
2022-04-08 00:00:00,Azua,0,0,3,224016,1
2022-05-20 00:00:00,Azua,0,0,3,224024,1
2021-06-26 00:00:00,Azua,0,0,3,223968,16
2021-10-21 00:00:00,Azua,0,0,3,223979,5
2020-11-28 00:00:00,Azua,0,0,30,223947,2
2022-02-15 00:00:00,Azua,0,0,31,224000,0
2022-02-22 00:00:00,Azua,0,0,31,224000,0
2022-03-01 00:00:00,Azua,0,0,31,224008,0
2022-05-12 00:00:00,Azua,0,0,35,224024,0
2022-06-25 00:00:00,Azua,0,0,39,224032,12
2021-12-07 00:00:00,Azua,0,0,4,223984,0
2022-02-18 00:00:00,Azua,0,0,4,224000,0
2022-03-10 00:00:00,Azua,0,0,4,224008,1
2021-08-06 00:00:00,Azua,0,0,4,223973,16
2021-03-15 00:00:00,Azua,0,0,4,223960,2
2021-09-16 00:00:00,Azua,0,0,4,223976,4
2022-04-09 00:00:00,Azua,0,0,43,224016,0
2022-04-25 00:00:00,Azua,0,0,45,224016,0
2021-08-29 00:00:00,Azua,0,0,5,223973,0
2021-09-15 00:00:00,Azua,0,0,5,223976,0
2022-05-18 00:00:00,Azua,0,0,5,224024,1
2021-11-02 00:00:00,Azua,0,0,5,223981,12
2021-10-03 00:00:00,Azua,0,0,5,223979,2
2022-02-21 00:00:00,Azua,0,0,5,224000,2
2020-10-16 00:00:00,Azua,0,0,5,223948,3
2021-10-14 00:00:00,Azua,0,0,5,223979,3
2021-09-17 00:00:00,Azua,0,0,5,223976,4
2022-02-28 00:00:00,Azua,0,0,50,224000,0
2020-09-23 00:00:00,Azua,0,0,50,223944,5
2022-02-24 00:00:00,Azua,0,0,52,224000,0
2022-03-06 00:00:00,Azua,0,0,54,224008,0
2022-05-11 00:00:00,Azua,0,0,6,224024,0
2021-12-30 00:00:00,Azua,0,0,6,223984,1
2022-03-07 00:00:00,Azua,0,0,6,224008,3
2021-10-16 00:00:00,Azua,0,0,6,223979,4
2022-03-20 00:00:00,Azua,0,0,63,224008,2
2022-04-02 00:00:00,Azua,0,0,66,224016,0
2021-08-16 00:00:00,Azua,0,0,7,223973,0
2021-12-20 00:00:00,Azua,0,0,7,223984,0
2022-02-17 00:00:00,Azua,0,0,7,224000,0
2022-03-14 00:00:00,Azua,0,0,7,224008,0
2021-11-08 00:00:00,Azua,0,0,7,223981,22
2021-09-06 00:00:00,Azua,0,0,8,223976,0
2021-09-10 00:00:00,Azua,0,0,8,223976,3
2022-04-23 00:00:00,Azua,0,0,85,224016,0
2022-03-29 00:00:00,Azua,0,0,9,224008,0
2022-04-30 00:00:00,Azua,0,0,9,224016,0
2022-05-21 00:00:00,Azua,0,0,9,224024,0
2022-06-20 00:00:00,Azua,0,0,9,224032,0
2022-04-26 00:00:00,Azua,0,0,9,224016,1
2021-03-01 00:00:00,Azua,0,0,9,223960,2
2021-11-29 00:00:00,Azua,0,0,9,223981,2
2022-03-13 00:00:00,Azua,0,0,90,224008,0
2020-03-27 00:00:00,Azua,1,0,0,223921,0
2020-03-28 00:00:00,Azua,1,0,0,223921,0
2020-03-29 00:00:00,Azua,1,0,0,223921,0
2020-04-06 00:00:00,Azua,1,0,0,223922,0
2020-04-07 00:00:00,Azua,1,0,0,223922,0
2020-04-10 00:00:00,Azua,1,0,0,223922,0
2020-04-11 00:00:00,Azua,1,0,0,223922,0
2020-04-19 00:00:00,Azua,1,0,0,223922,0
2020-04-21 00:00:00,Azua,1,0,0,223922,0
2020-04-23 00:00:00,Azua,1,0,0,223922,0
2020-04-25 00:00:00,Azua,1,0,0,223922,0
2020-05-05 00:00:00,Azua,1,0,0,223929,0
2021-08-23 00:00:00,Azua,1,0,0,223973,0
2022-02-11 00:00:00,Azua,1,0,0,224000,2
