fecha,Hospitalizacion,O_camas,O_UCI,O_ventiladores,T_camas,T_UCI,T_ventiladores,Positivos diarios,Recuperados diarios,Defunciones registradas diarias ,Confirmados acumulados,Recuperados acumulados,Defunciones acumuladas
2021-01-12 00:00:00,1783,1298,311,174,2686,527,397,1595,350,1,186383,140217,2428
2021-01-13 00:00:00,1775,1295,318,162,2719,532,400,1104,307,0,187487,140524,2428
2021-01-14 00:00:00,1785,1303,317,165,2722,528,390,1482,407,4,188969,140931,2432
2021-01-15 00:00:00,1748,1261,321,166,2729,532,388,2370,1099,0,191339,142030,2432
2021-01-16 00:00:00,1794,1306,322,166,2733,543,389,1779,1020,5,193118,143050,2437
2021-01-17 00:00:00,1803,1302,331,170,2731,543,391,1848,1158,11,194966,144208,2448
2021-01-18 00:00:00,1791,1282,336,173,2735,546,396,1625,907,13,196591,145115,2461
2021-01-19 00:00:00,1803,1302,331,170,2731,543,391,1532,566,9,198123,145681,2470
2021-01-20 00:00:00,1787,1275,329,183,2736,542,397,1549,339,12,199672,146020,2482
2021-01-21 00:00:00,1827,1305,332,190,2731,543,396,1473,471,14,201145,146491,2496
2021-01-22 00:00:00,1796,1297,317,182,2731,542,403,1362,656,17,202507,147147,2513
2021-01-23 00:00:00,1761,1286,303,172,2735,543,403,1439,739,18,203946,147886,2531
2021-01-24 00:00:00,1730,1259,307,164,2731,543,407,1216,1036,14,205162,148922,2545
2021-01-25 00:00:00,1730,1259,307,164,2731,543,407,1143,890,19,206305,149812,2564
2021-01-26 00:00:00,1623,1165,293,165,2725,545,407,1150,992,15,207455,150804,2579
2021-01-27 00:00:00,1587,1134,288,165,2728,545,406,1155,899,24,208610,151703,2603
2021-01-28 00:00:00,1571,1119,285,167,2730,544,405,1802,2442,23,210412,154145,2626
2021-01-29 00:00:00,1539,1086,286,167,2712,543,404,2141,1722,20,212553,155867,2646
2021-01-30 00:00:00,1511,1056,292,163,2712,541,404,1507,1666,20,214060,157533,2666
2021-01-31 00:00:00,1497,1043,293,161,2712,540,403,1026,1242,22,215086,158775,2688
2021-02-01 00:00:00,1466,1012,293,161,2712,540,403,834,831,16,215920,159606,2704
2021-02-02 00:00:00,1392,933,294,165,2712,540,401,1357,758,15,217277,160364,2719
2021-02-03 00:00:00,1403,958,288,157,2736,540,401,1671,2446,28,218948,162810,2747
2021-02-04 00:00:00,1403,963,287,153,2737,536,401,1478,1223,26,220426,164033,2773
2021-02-05 00:00:00,1407,956,294,157,2740,538,401,1722,1626,28,222148,165659,2801
2021-02-06 00:00:00,1384,938,293,153,2740,538,401,1250,1555,30,223398,167214,2831
2021-02-07 00:00:00,1355,907,289,159,2740,538,401,721,1413,12,224119,168627,2843
2021-02-08 00:00:00,1327,880,292,155,2738,538,404,419,1216,21,224538,169843,2864
2021-02-09 00:00:00,1259,834,279,146,2740,538,404,934,1343,19,225472,171186,2883
2021-02-10 00:00:00,1215,801,273,141,2740,538,404,1242,1376,21,226714,172562,2904
2021-02-11 00:00:00,1218,817,264,137,2730,538,406,1050,1320,13,227764,173882,2917
2021-02-12 00:00:00,1190,802,255,133,2730,538,406,1131,1447,15,228895,175329,2932
2021-02-13 00:00:00,1185,796,256,133,2730,538,406,873,1459,12,229768,176788,2944
2021-02-14 00:00:00,1199,806,261,132,2730,538,405,795,1358,15,230563,178146,2959
2021-02-15 00:00:00,1136,764,245,127,2710,538,405,532,951,16,231095,179097,2975
2021-02-16 00:00:00,1123,755,241,127,2706,538,405,642,1073,15,231737,180170,2990
2021-02-17 00:00:00,1116,765,227,124,2706,538,405,1043,1232,17,232780,181402,3007
2021-02-18 00:00:00,1133,768,236,129,2007,538,405,818,1201,17,233598,182603,3024
2021-02-19 00:00:00,1104,737,236,131,2707,538,404,904,1117,4,234502,183720,3028
2021-02-20 00:00:00,1110,737,239,134,2707,538,405,960,1434,10,235462,185154,3038
2021-02-21 00:00:00,1113,737,239,137,2707,538,404,420,810,10,235882,185964,3048
2021-02-22 00:00:00,1004,646,232,126,2707,538,404,328,739,9,236210,186703,3057
2021-02-23 00:00:00,992,639,232,121,2707,538,404,673,719,9,236883,187422,3066
2021-02-24 00:00:00,988,633,224,131,2683,542,406,746,878,9,237629,188300,3075
2021-02-25 00:00:00,979,634,220,125,2682,542,406,576,863,7,238205,189163,3082
